employee_id,week_number,burnout_label,tasks_planned,tasks_completed,completion_rate,rework_count,focus_sessions,avg_focus_duration,context_switches,idle_time_mins,work_hours_per_day,after_hours_logins,breaks_taken,weekend_work_days,error_rate,submission_delays,revision_requests,mental_fatigue_score
E003,1,Low,14,11,0.852,0,5,65.5,4,1.6,8.7,1,3,0,0.048,1,1,2.0
E003,2,Low,8,7,0.902,0,5,86.0,4,1.9,8.9,1,4,0,0.036,1,1,2.9
E003,3,Low,8,7,0.931,0,4,69.8,5,37.8,8.9,1,5,0,0.068,1,1,2.1
E003,4,Low,9,8,0.919,0,6,109.2,5,15.4,8.9,1,5,0,0.032,0,1,1.2
E003,5,Low,17,14,0.856,0,5,101.0,2,26.2,7.8,1,4,0,0.04,0,0,2.0
E003,6,Low,10,9,0.955,0,4,116.2,5,29.4,8.6,0,4,0,0.045,1,1,2.2
E003,7,Medium,8,5,0.728,1,3,37.5,13,60.4,11.8,2,2,0,0.202,2,2,4.5
E003,8,Medium,11,8,0.752,0,2,39.6,8,46.0,9.2,2,1,0,0.114,2,3,5.4
E003,9,Medium,12,9,0.759,2,4,32.5,10,57.6,10.0,4,1,1,0.242,3,2,4.2
E003,10,Medium,8,5,0.744,1,4,59.9,7,66.5,11.7,4,1,1,0.245,2,3,5.7
E003,11,Medium,8,5,0.669,0,4,42.8,13,44.4,11.5,3,2,0,0.177,3,4,5.2
E003,12,High,10,5,0.599,1,1,28.9,14,147.4,11.4,7,0,1,0.344,6,7,7.7
E003,13,High,16,5,0.338,2,1,15.1,15,137.5,10.2,5,0,1,0.436,6,5,7.7
E003,14,High,12,5,0.427,1,1,11.7,14,117.9,13.9,5,1,1,0.261,4,8,8.6
E003,15,High,16,6,0.386,2,1,29.4,15,113.3,10.9,7,0,1,0.407,5,7,9.7
E003,16,High,9,5,0.611,1,2,29.0,21,131.6,10.4,5,1,2,0.297,5,8,8.1
E004,1,Low,10,8,0.89,0,4,118.5,5,18.1,7.1,0,3,0,0.045,0,1,1.5
E004,2,Low,8,7,0.973,0,5,85.0,2,24.5,7.8,1,4,0,0.072,0,0,1.1
E004,3,Low,16,15,0.967,1,5,119.2,2,15.1,8.5,0,4,0,0.07,0,0,1.1
E004,4,Low,12,10,0.912,0,4,60.8,4,34.6,8.6,0,3,0,0.08,0,0,2.5
E004,5,Low,9,8,0.964,0,6,74.8,3,8.2,7.5,0,3,0,0.032,0,0,2.5
E004,6,Low,16,14,0.904,0,6,100.3,3,19.0,8.7,1,3,0,0.053,0,1,2.8
E004,7,Medium,9,6,0.762,0,4,30.9,12,87.1,10.9,4,1,0,0.12,3,3,4.7
E004,8,Medium,12,9,0.771,1,4,43.1,12,83.6,10.6,2,2,0,0.159,2,3,5.7
E004,9,Medium,10,8,0.801,1,3,57.8,7,86.1,9.2,2,2,1,0.174,2,3,5.3
E004,10,Medium,10,7,0.752,1,4,33.8,12,64.0,11.1,2,1,1,0.171,2,3,5.2
E004,11,Medium,17,11,0.658,1,2,40.4,7,50.6,9.3,2,1,0,0.153,3,3,4.3
E004,12,High,15,8,0.535,2,1,11.8,20,150.2,10.3,6,0,1,0.344,4,6,9.6
E004,13,High,15,8,0.554,3,1,29.7,20,129.6,11.9,6,1,1,0.383,5,5,7.2
E004,14,High,12,4,0.345,1,1,27.9,19,160.0,10.1,6,1,2,0.383,6,8,7.8
E004,15,High,9,3,0.362,1,1,16.4,20,107.1,12.1,5,0,1,0.398,5,7,8.9
E004,16,High,15,4,0.33,1,1,24.7,20,159.6,11.7,7,1,1,0.334,5,8,8.7
E005,1,Low,15,13,0.925,0,5,96.3,2,0.3,7.5,1,5,0,0.049,1,0,1.2
E005,2,Low,13,12,0.985,0,6,63.1,4,16.4,9.0,0,4,0,0.044,1,0,2.7
E005,3,Low,13,12,0.996,0,5,70.3,4,32.8,8.4,0,4,0,0.037,1,0,1.4
E005,4,Low,10,9,0.957,0,4,104.2,5,4.6,8.2,1,4,0,0.055,0,0,2.0
E005,5,Low,16,13,0.858,0,5,87.3,2,2.5,9.0,0,4,0,0.025,0,0,1.0
E005,6,Low,10,9,0.939,0,5,84.7,3,4.3,8.7,1,4,0,0.027,1,0,2.9
E005,7,Medium,17,11,0.663,2,3,31.4,10,48.4,11.4,3,2,1,0.224,2,2,4.5
E005,8,Medium,8,6,0.822,1,2,56.3,6,81.0,10.4,3,2,0,0.194,2,4,4.9
E005,9,Medium,17,11,0.694,1,2,41.7,7,72.6,11.7,4,1,0,0.165,2,4,5.5
E005,10,Medium,11,7,0.676,1,4,56.4,6,72.0,11.7,2,2,0,0.147,2,4,5.5
E005,11,Medium,12,9,0.758,1,3,44.8,7,60.5,11.5,4,1,1,0.169,3,4,5.6
E005,12,High,13,6,0.465,2,2,24.4,15,101.0,12.4,6,0,1,0.336,6,6,9.7
E005,13,High,11,4,0.377,1,1,19.2,19,149.2,13.6,6,1,1,0.314,6,8,7.3
E005,14,High,8,4,0.569,1,1,24.1,15,161.7,11.5,5,1,1,0.434,4,6,9.7
E005,15,High,12,4,0.339,1,1,13.3,17,110.0,13.7,7,1,1,0.307,6,5,8.1
E005,16,High,8,3,0.414,1,2,25.8,15,126.7,11.6,5,1,1,0.481,6,6,8.4
E006,1,Low,13,12,0.938,0,6,87.1,4,9.9,8.2,1,4,0,0.022,0,0,2.6
E006,2,Low,14,12,0.883,0,5,99.8,4,39.0,7.9,1,4,0,0.072,0,0,1.4
E006,3,Low,15,14,0.939,0,4,83.8,4,8.4,8.8,1,4,0,0.031,0,0,1.9
E006,4,Low,15,14,0.938,0,4,106.5,4,21.1,8.1,0,4,0,0.05,0,0,1.2
E006,5,Low,15,14,0.979,0,6,105.2,3,10.8,8.3,1,3,0,0.022,1,1,2.4
E006,6,Low,15,12,0.854,0,6,75.2,4,26.9,7.0,1,3,0,0.068,0,0,2.3
E006,7,Medium,14,9,0.669,1,3,48.1,11,89.8,10.2,2,2,0,0.161,2,3,4.0
E006,8,Medium,9,7,0.79,1,2,30.8,10,92.6,10.9,3,2,0,0.223,3,4,4.5
E006,9,Medium,15,10,0.719,1,4,38.0,10,60.7,11.3,2,2,0,0.144,3,3,5.5
E006,10,Medium,14,9,0.672,1,3,44.6,11,68.3,9.5,3,1,0,0.14,3,3,5.3
E006,11,Medium,16,11,0.691,1,3,55.0,9,47.9,11.7,3,1,0,0.103,3,2,5.6
E006,12,High,9,3,0.393,0,1,18.1,19,166.4,10.8,6,1,1,0.316,6,6,9.2
E006,13,High,12,6,0.504,1,1,19.9,15,173.2,11.7,6,1,2,0.262,5,7,7.6
E006,14,High,15,7,0.505,2,2,11.4,16,123.1,11.4,5,0,1,0.403,5,6,8.2
E006,15,High,16,9,0.619,4,1,19.7,15,102.5,11.0,7,1,1,0.462,6,5,7.5
E006,16,High,10,5,0.562,1,1,16.9,21,158.3,12.0,7,1,2,0.365,6,7,7.2
E007,1,Low,15,13,0.891,1,5,66.2,2,3.7,8.8,0,3,0,0.077,0,0,1.4
E007,2,Low,16,15,0.964,1,6,108.4,4,29.0,8.3,1,3,0,0.074,1,0,2.4
E007,3,Low,16,15,0.992,1,6,62.6,5,37.0,7.4,0,4,0,0.075,1,0,2.4
E007,4,Low,15,13,0.879,0,5,85.3,2,19.0,8.7,0,5,0,0.039,1,0,1.1
E007,5,Low,16,14,0.885,0,4,64.6,2,21.2,7.9,0,5,0,0.039,0,1,2.6
E007,6,Low,9,8,0.961,0,4,113.2,3,35.1,7.8,0,4,0,0.079,0,0,1.4
E007,7,Medium,16,13,0.828,2,4,32.1,11,61.0,11.3,2,2,0,0.172,3,4,4.8
E007,8,Medium,12,8,0.714,1,2,52.0,6,46.6,10.1,3,2,1,0.207,2,2,4.6
E007,9,Medium,15,12,0.838,1,2,33.3,6,80.8,9.7,3,1,0,0.139,3,3,6.0
E007,10,Medium,9,6,0.739,1,2,59.7,12,99.5,9.7,2,1,1,0.191,2,3,4.5
E007,11,Medium,17,12,0.723,2,2,35.6,8,89.6,11.4,3,1,0,0.233,2,3,5.1
E007,12,High,9,4,0.475,1,2,23.9,21,171.8,11.9,5,1,1,0.384,4,8,8.7
E007,13,High,9,4,0.456,1,2,15.3,17,138.1,10.2,6,1,2,0.452,4,5,9.2
E007,14,High,15,6,0.439,1,1,10.1,16,157.9,12.0,6,0,2,0.277,4,5,9.6
E007,15,High,8,4,0.6,1,2,21.8,15,145.7,12.6,7,0,1,0.433,6,8,9.0
E007,16,High,16,5,0.353,1,2,24.2,16,119.1,13.7,7,0,2,0.297,4,7,9.9
E008,1,Low,14,11,0.854,0,6,60.3,5,13.4,8.5,0,4,0,0.069,1,0,2.0
E008,2,Low,17,14,0.879,0,4,97.0,2,22.4,7.2,1,3,0,0.067,1,0,2.5
E008,3,Low,8,7,0.915,0,5,80.5,5,7.2,8.5,1,4,0,0.077,1,0,2.5
E008,4,Low,14,13,0.937,1,4,63.5,5,1.8,8.7,1,5,0,0.078,1,0,1.3
E008,5,Low,10,8,0.86,0,4,79.4,4,32.8,7.5,0,4,0,0.03,1,0,2.9
E008,6,Low,8,7,0.918,0,6,91.6,2,27.7,7.4,1,5,0,0.061,1,0,1.5
E008,7,Medium,9,7,0.833,1,2,58.3,13,91.4,11.9,4,1,0,0.248,2,3,5.8
E008,8,Medium,9,6,0.69,0,2,49.6,9,73.8,10.4,4,2,1,0.128,2,2,5.6
E008,9,Medium,11,8,0.795,1,4,53.9,9,42.0,11.8,4,2,1,0.169,3,3,5.2
E008,10,Medium,12,8,0.732,1,3,36.8,9,43.9,10.7,2,2,1,0.165,3,2,4.3
E008,11,Medium,15,9,0.664,1,3,44.4,12,83.3,11.0,2,1,1,0.217,3,4,5.0
E008,12,High,16,5,0.35,1,2,29.7,21,101.5,11.9,5,1,2,0.252,4,6,8.6
E008,13,High,8,3,0.419,1,1,26.5,15,131.8,10.5,7,1,2,0.423,6,6,7.1
E008,14,High,14,8,0.624,3,1,24.1,19,147.6,12.5,7,1,1,0.427,5,8,9.4
E008,15,High,14,7,0.525,3,2,21.0,15,162.7,11.9,7,0,2,0.433,6,6,7.2
E008,16,High,9,4,0.521,1,1,27.4,15,126.3,11.9,5,1,1,0.447,6,8,8.5
E009,1,Low,8,6,0.853,0,6,73.7,5,21.7,8.0,1,4,0,0.044,0,0,1.8
E009,2,Low,16,15,0.976,1,4,112.1,4,16.6,8.7,0,4,0,0.079,1,1,2.7
E009,3,Low,10,9,0.916,0,4,83.7,5,34.9,8.8,1,5,0,0.037,0,1,2.8
E009,4,Low,12,11,0.943,0,4,104.0,4,31.0,7.8,1,5,0,0.058,1,1,2.0
E009,5,Low,16,15,0.978,0,4,86.2,3,34.8,7.9,1,5,0,0.042,1,0,1.3
E009,6,Low,13,12,0.995,0,5,111.5,2,13.0,8.5,1,3,0,0.034,0,0,2.8
E009,7,Medium,12,8,0.682,1,3,43.5,9,89.7,10.3,4,2,0,0.138,3,2,5.2
E009,8,Medium,12,9,0.751,1,2,55.3,9,66.8,11.6,3,2,0,0.117,3,3,4.1
E009,9,Medium,9,7,0.828,1,2,49.2,8,67.1,11.8,2,1,0,0.188,3,3,4.8
E009,10,Medium,11,9,0.833,1,4,30.5,6,78.3,11.6,4,2,0,0.178,2,3,4.3
E009,11,Medium,14,10,0.784,2,3,52.0,13,98.2,9.3,2,2,1,0.23,3,4,5.4
E009,12,High,8,5,0.633,1,1,23.7,15,119.5,13.3,7,1,1,0.258,4,6,9.8
E009,13,High,16,5,0.373,1,2,26.5,21,152.1,10.4,6,1,2,0.262,4,5,8.2
E009,14,High,8,2,0.331,0,1,24.8,17,152.0,13.1,6,0,2,0.475,4,5,8.0
E009,15,High,8,2,0.341,0,2,23.0,18,126.0,11.5,7,0,1,0.345,4,5,8.8
E009,16,High,13,5,0.451,1,2,11.5,16,113.5,12.6,6,1,1,0.345,5,8,8.6
E010,1,Low,12,11,0.987,0,4,80.5,5,6.0,8.1,0,5,0,0.044,0,1,2.5
E010,2,Low,9,7,0.879,0,6,113.8,2,35.9,7.5,0,5,0,0.024,0,0,1.7
E010,3,Low,11,9,0.875,0,4,77.1,4,37.2,8.1,1,4,0,0.057,1,1,1.5
E010,4,Low,15,14,0.973,0,5,70.9,4,34.4,8.6,0,5,0,0.038,0,1,1.4
E010,5,Low,16,15,0.994,0,5,108.4,2,14.9,8.1,0,5,0,0.02,1,1,2.0
E010,6,Low,10,9,0.969,0,6,96.7,3,14.4,8.8,1,3,0,0.034,0,1,1.5
E010,7,Medium,12,9,0.812,1,4,50.0,7,86.0,9.4,4,2,0,0.125,2,3,4.9
E010,8,Medium,10,6,0.668,1,2,49.3,9,52.4,10.9,2,2,0,0.189,3,2,6.0
E010,9,Medium,14,10,0.763,1,3,42.1,11,66.7,11.2,4,1,1,0.119,2,3,4.7
E010,10,Medium,12,9,0.797,0,2,56.8,8,64.1,10.1,3,1,0,0.11,2,3,5.3
E010,11,Medium,14,9,0.702,1,3,50.4,9,59.5,10.0,3,2,0,0.157,3,2,6.0
E010,12,High,14,6,0.458,1,2,21.6,15,176.6,10.7,7,0,1,0.293,5,6,8.3
E010,13,High,15,8,0.557,3,1,16.0,21,163.6,13.7,5,0,2,0.494,5,5,9.2
E010,14,High,11,5,0.484,2,1,23.4,17,149.9,10.4,7,1,1,0.402,5,8,9.1
E010,15,High,9,3,0.403,1,2,16.8,14,107.0,13.7,5,0,1,0.456,5,7,9.8
E010,16,High,15,7,0.475,2,1,25.7,20,179.4,13.4,6,1,1,0.349,5,6,8.9
E011,1,Low,11,10,0.93,0,5,108.4,5,8.5,8.6,0,3,0,0.021,0,1,1.4
E011,2,Low,11,10,0.936,0,5,109.3,2,19.2,7.6,0,4,0,0.028,1,1,2.7
E011,3,Low,11,10,0.925,0,4,109.5,2,14.7,7.1,1,3,0,0.034,0,1,2.6
E011,4,Low,16,14,0.916,0,6,98.4,2,0.7,8.2,0,5,0,0.043,0,0,1.4
E011,5,Low,10,8,0.859,0,6,105.3,4,27.8,9.0,0,3,0,0.029,0,1,1.6
E011,6,Low,12,10,0.877,0,4,90.6,4,9.2,7.5,1,3,0,0.057,1,1,1.9
E011,7,Medium,12,9,0.818,1,3,49.6,8,62.1,10.2,3,1,0,0.158,2,3,4.5
E011,8,Medium,12,7,0.654,1,4,47.5,12,48.2,10.6,2,1,0,0.225,2,2,4.4
E011,9,Medium,16,13,0.832,1,2,33.3,9,78.8,10.5,4,1,1,0.119,3,3,5.0
E011,10,Medium,9,6,0.767,1,2,43.8,10,97.4,9.4,2,2,0,0.241,3,2,4.6
E011,11,Medium,8,5,0.657,0,2,54.8,12,79.6,11.7,2,1,0,0.11,3,2,4.3
E011,12,High,17,7,0.451,1,2,10.8,14,159.7,12.6,7,1,1,0.253,4,8,9.2
E011,13,High,17,7,0.457,1,2,17.0,20,175.4,13.1,7,0,2,0.275,5,6,9.3
E011,14,High,11,3,0.307,1,2,20.3,14,123.6,13.1,5,0,2,0.417,6,5,7.8
E011,15,High,9,5,0.563,1,1,29.2,20,103.4,13.9,5,1,2,0.369,5,6,8.5
E011,16,High,11,3,0.344,1,1,12.2,15,118.0,11.5,7,1,2,0.347,5,6,7.8
E012,1,Low,12,10,0.868,0,6,113.2,5,39.7,8.3,1,5,0,0.073,1,0,2.1
E012,2,Low,9,8,0.963,0,4,118.7,3,29.1,8.6,1,5,0,0.039,1,0,1.5
E012,3,Low,10,8,0.866,0,4,103.6,4,38.6,8.0,0,3,0,0.045,0,0,2.5
E012,4,Low,8,7,0.895,0,6,69.1,3,34.9,8.3,1,3,0,0.03,1,1,1.0
E012,5,Low,9,8,0.961,0,6,119.5,5,7.8,8.8,1,5,0,0.039,0,1,2.6
E012,6,Low,11,9,0.903,0,4,92.3,5,0.2,8.5,1,3,0,0.021,0,1,2.5
E012,7,Medium,12,8,0.712,1,4,55.3,11,92.6,12.0,4,1,1,0.208,3,3,5.2
E012,8,Medium,15,11,0.776,1,3,50.9,10,41.7,9.5,2,1,1,0.16,2,2,5.3
E012,9,Medium,10,6,0.67,0,3,46.8,9,43.2,10.5,3,2,0,0.14,3,4,5.0
E012,10,Medium,9,5,0.661,0,2,52.4,7,82.5,11.4,4,2,0,0.122,2,2,4.9
E012,11,Medium,13,9,0.721,1,2,47.9,8,86.0,11.2,3,1,0,0.163,3,4,4.2
E012,12,High,13,8,0.637,2,2,17.7,14,176.0,10.8,5,1,2,0.291,6,5,8.8
E012,13,High,17,6,0.393,2,1,28.6,16,175.3,11.0,6,1,1,0.344,4,8,9.4
E012,14,High,16,9,0.619,3,2,12.7,17,104.0,13.6,7,0,2,0.432,5,5,7.5
E012,15,High,17,9,0.555,2,2,19.4,18,105.5,10.2,6,1,2,0.319,6,8,9.4
E012,16,High,12,4,0.392,1,2,18.6,14,162.1,10.3,5,1,2,0.262,5,6,8.7
E013,1,Low,17,15,0.93,1,4,106.3,3,36.0,7.0,1,5,0,0.078,0,1,2.9
E013,2,Low,12,11,0.974,0,5,103.8,3,39.2,7.3,0,4,0,0.031,0,0,1.6
E013,3,Low,9,8,0.941,0,4,71.0,2,6.0,7.5,1,3,0,0.071,0,0,2.0
E013,4,Low,13,11,0.911,0,6,64.1,3,22.0,8.2,1,4,0,0.071,1,0,1.3
E013,5,Low,10,9,0.977,0,5,65.9,5,16.5,8.3,1,5,0,0.051,1,0,1.9
E013,6,Low,16,15,0.968,0,6,112.3,3,13.2,8.5,1,5,0,0.032,0,0,2.8
E013,7,Medium,9,6,0.756,1,3,46.7,7,43.9,10.4,2,2,1,0.22,2,4,5.6
E013,8,Medium,15,10,0.668,1,2,58.9,13,51.2,9.3,2,2,0,0.195,2,2,4.8
E013,9,Medium,15,11,0.749,2,3,53.8,12,76.8,10.1,4,2,0,0.248,2,2,4.1
E013,10,Medium,14,11,0.82,1,4,39.4,11,76.9,9.3,2,2,0,0.176,3,2,4.8
E013,11,Medium,16,10,0.673,1,3,49.0,9,99.8,11.9,4,1,1,0.102,2,4,5.1
E013,12,High,9,5,0.58,1,2,11.6,18,177.9,11.3,5,1,2,0.385,6,8,7.9
E013,13,High,10,5,0.579,2,2,16.3,21,139.5,13.3,6,1,2,0.428,5,6,9.2
E013,14,High,8,2,0.348,0,1,24.8,15,159.9,12.6,6,0,1,0.452,5,7,7.8
E013,15,High,10,3,0.343,1,2,12.1,16,154.9,10.3,7,1,1,0.414,4,8,7.2
E013,16,High,9,4,0.536,1,1,14.3,20,117.0,10.1,5,0,2,0.44,4,7,9.4
E014,1,Low,10,9,0.948,0,5,100.2,4,6.8,7.8,1,4,0,0.034,0,1,1.3
E014,2,Low,10,9,0.997,0,5,88.7,2,1.7,8.5,1,4,0,0.037,1,0,1.6
E014,3,Low,11,10,0.974,0,6,108.3,5,39.3,8.2,0,5,0,0.058,0,1,2.3
E014,4,Low,10,8,0.867,0,5,67.2,5,3.9,7.5,1,3,0,0.048,0,1,2.2
E014,5,Low,14,12,0.884,0,5,104.6,5,2.6,8.8,1,3,0,0.04,1,0,3.0
E014,6,Low,12,11,0.93,0,5,107.7,3,17.2,7.5,1,4,0,0.054,0,0,1.5
E014,7,Medium,15,11,0.764,2,2,52.1,6,94.6,11.0,2,2,1,0.243,3,2,5.4
E014,8,Medium,11,7,0.71,1,3,53.2,6,60.4,9.5,3,2,0,0.195,3,2,5.4
E014,9,Medium,13,10,0.779,2,3,53.6,8,79.1,11.9,3,1,0,0.248,3,4,4.8
E014,10,Medium,10,6,0.698,0,2,31.2,11,42.7,9.4,3,1,0,0.15,2,4,4.4
E014,11,Medium,17,12,0.735,1,2,45.5,11,91.2,9.1,4,2,1,0.143,2,2,4.9
E014,12,High,10,3,0.4,1,2,15.6,21,107.0,12.5,5,0,1,0.377,4,7,8.5
E014,13,High,17,7,0.453,2,1,15.5,14,131.2,12.9,5,0,1,0.402,4,5,9.2
E014,14,High,11,5,0.545,2,1,22.7,20,157.4,13.3,5,0,2,0.422,5,8,8.2
E014,15,High,17,7,0.425,3,1,21.9,21,160.1,10.3,6,0,1,0.437,5,7,8.9
E014,16,High,13,5,0.423,1,1,22.0,19,150.9,13.7,5,0,2,0.293,5,7,9.2
E015,1,Low,8,7,0.974,0,5,68.5,2,27.8,8.1,0,3,0,0.025,0,1,2.8
E015,2,Low,13,11,0.882,0,4,103.8,2,2.7,7.8,0,4,0,0.044,0,0,2.1
E015,3,Low,16,15,0.968,0,5,83.1,4,34.3,8.8,0,5,0,0.039,1,1,1.7
E015,4,Low,17,14,0.854,1,4,91.5,3,6.7,7.9,1,3,0,0.073,0,0,1.3
E015,5,Low,15,14,0.947,0,6,80.4,4,31.7,8.2,0,4,0,0.071,1,1,2.7
E015,6,Low,13,12,0.998,0,4,66.3,2,5.6,8.0,1,5,0,0.052,0,1,1.2
E015,7,Medium,12,9,0.826,2,4,34.8,7,58.8,9.4,2,2,1,0.235,2,2,5.9
E015,8,Medium,12,8,0.74,1,3,48.1,9,72.7,9.3,4,1,1,0.158,2,3,5.1
E015,9,Medium,12,8,0.741,1,2,46.3,11,54.8,11.5,4,2,1,0.139,2,3,4.1
E015,10,Medium,10,8,0.834,1,4,46.3,6,74.8,9.4,4,1,0,0.223,3,4,5.6
E015,11,Medium,12,9,0.817,1,3,47.1,7,67.7,11.2,2,1,0,0.181,2,4,5.9
E015,12,High,13,6,0.504,2,2,20.7,17,103.0,13.0,7,1,1,0.449,4,6,7.1
E015,13,High,14,4,0.351,1,1,20.3,17,138.7,13.5,7,0,2,0.373,6,5,8.7
E015,14,High,14,6,0.431,2,1,28.4,16,146.2,13.5,6,0,2,0.361,6,7,8.8
E015,15,High,12,7,0.625,2,2,29.9,21,168.3,11.8,5,0,2,0.31,6,6,7.8
E015,16,High,12,5,0.474,2,2,14.4,20,101.5,11.9,5,1,1,0.468,5,6,8.9
E016,1,Low,14,12,0.904,0,5,80.0,4,8.4,8.9,0,5,0,0.08,1,1,2.7
E016,2,Low,10,8,0.85,0,6,104.3,2,25.3,7.1,0,3,0,0.069,0,0,2.8
E016,3,Low,9,8,0.942,0,6,89.3,3,11.2,8.4,0,4,0,0.038,1,0,2.3
E016,4,Low,17,14,0.851,0,6,91.4,5,27.3,7.2,1,4,0,0.035,1,1,1.3
E016,5,Low,14,12,0.91,0,6,72.7,3,11.2,8.6,1,4,0,0.036,1,0,2.2
E016,6,Low,17,15,0.884,0,4,73.2,2,24.1,7.7,0,3,0,0.027,0,0,2.0
E016,7,Medium,14,10,0.761,2,3,32.2,13,71.6,10.4,3,2,0,0.221,3,3,5.0
E016,8,Medium,17,13,0.787,2,4,34.8,7,48.0,10.9,4,1,1,0.16,2,4,4.4
E016,9,Medium,10,7,0.786,1,3,51.2,12,75.0,10.4,3,1,1,0.211,2,4,5.7
E016,10,Medium,17,12,0.757,1,3,39.4,9,94.4,11.8,4,1,1,0.157,3,4,4.2
E016,11,Medium,8,5,0.658,1,2,41.6,8,90.7,11.0,4,1,0,0.207,2,2,5.9
E016,12,High,10,5,0.53,1,1,16.0,18,138.0,12.5,5,1,1,0.34,6,8,9.6
E016,13,High,16,7,0.456,2,2,22.7,16,129.6,10.2,5,0,2,0.388,6,6,7.6
E016,14,High,13,7,0.596,1,2,27.6,14,163.7,13.0,5,1,1,0.284,6,8,9.2
E016,15,High,12,6,0.519,1,1,23.6,19,115.9,13.6,7,0,1,0.265,5,6,8.5
E016,16,High,13,6,0.534,2,1,17.6,21,167.1,12.8,6,1,1,0.373,6,6,8.6
E017,1,Low,17,15,0.89,0,4,87.8,5,1.7,7.8,0,5,0,0.066,0,0,2.0
E017,2,Low,14,13,0.979,0,5,61.0,4,15.3,7.7,0,4,0,0.046,1,0,1.7
E017,3,Low,15,13,0.928,0,4,82.3,5,22.7,8.3,0,5,0,0.073,0,0,2.1
E017,4,Low,14,13,0.967,0,4,77.5,2,15.9,7.6,0,3,0,0.034,1,1,2.0
E017,5,Low,17,16,0.951,1,5,119.4,4,31.4,9.0,1,5,0,0.078,1,1,1.7
E017,6,Low,8,7,0.879,0,5,113.8,2,31.3,8.2,0,3,0,0.069,1,1,1.8
E017,7,Medium,13,9,0.716,1,3,38.7,9,72.3,9.2,3,2,1,0.122,2,2,4.9
E017,8,Medium,17,12,0.729,1,3,45.9,12,61.3,11.8,3,1,1,0.141,3,3,4.9
